sentence,article,word
The graceful African animal with curved horns that travels in herds across the savanna is,an,antelope
The crisp red fruit that is often said to keep the doctor away is,an,apple
The upholstered chair with wide padded arms on both sides where you sink in to relax is,an,armchair
The sharp tool with a wooden handle used for chopping wood is,an,axe
The tiny human who cries often and needs constant care is,a,baby
The round bread with a hole in the middle often topped with cream cheese is,a,bagel
The round object that bounces and is used in many sports is,a,ball
The long yellow fruit that monkeys love to eat is,a,banana
The woven container used for carrying items or storing things is,a,basket
The nocturnal flying mammal that hangs upside down in caves is,a,bat
The soft terry cloth garment worn after a shower is,a,bathrobe
The small edible seed that grows in pods and is often used in chili is,a,bean
The piece of furniture you sleep on with a mattress and frame is,a,bed
The thin fabric covering that lies directly on top of a mattress is,a,bedsheet
The two-wheeled vehicle you pedal with your feet to move forward is,a,bike
The feathered creature that flies through the sky and builds nests is,a,bird
The warm covering you pull over yourself when sleeping or staying cozy is,a,blanket
The kitchen appliance with spinning blades that mixes and purees ingredients is,a,blender
The small crawling insect with six legs that might be found in your garden is,a,bug
The Mexican food consisting of a flour tortilla wrapped around beans and meat is,a,burrito
The spiky desert plant that stores water in its thick green stem is,a,cactus
The metal or wooden enclosure used to confine birds or small animals is,a,cage
The device that captures images when you press a button and say cheese is,a,camera
The orange root vegetable that Bugs Bunny is famous for eating is,a,carrot
The white flowering vegetable with a bumpy head often served steamed is,a,cauliflower
The portable electronic device you use to make calls and send texts is,a,cellphone
The brick or stone structure on a roof that allows smoke to escape is,a,chimney
The timepiece that hangs on the wall or sits on a table showing hours and minutes is,a,clock
The venomous snake with a hood that can rear up and strike is,a,cobra
The grooved tool you run through your hair to make it neat and tidy is,a,comb
The sweet baked treat that's often round and made with chocolate chips is,a,cookie
The small freshwater crustacean that looks like a tiny lobster is,a,crawfish
The drinking vessel with a handle that you sip coffee or tea from is,a,cup
The small frosted cake often decorated for birthdays and celebrations is,a,cupcake
The bright yellow weed flower that children blow to make wishes is,a,dandelion
The four-legged furry pet known as man's best friend that barks and wags its tail is,a,dog
The toy figure of a person that children play with and dress up is,a,doll
The gray four-legged animal with long ears known for being stubborn is,a,donkey
The flat stone or concrete platform at the entrance to a house where packages are left is,a,doorstep
The flat cleaning tool with a wide scoop used to collect swept debris is,a,dustpan
The large bird of prey with a hooked beak and powerful talons that soars high is,an,eagle
The organ on the side of your head that you use to hear sounds is,an,ear
The joint in the middle of your arm that bends so you can touch your shoulder is,an,elbow
The massive gray African animal with a long trunk and large ears is,an,elephant
The moving staircase found in shopping malls that carries people up and down is,an,escalator
The tiny curved hair that grows along the edge of your eyelid is,an,eyelash
The leafy green plant that doesn't flower and often grows in shady forest areas is,a,fern
The digit at the end of your hand that you point with or wear rings on is,a,finger
The aquatic animal with gills and fins that swims in water and breathes underwater is,a,fish
The handheld battery-powered device that creates a beam of light in darkness is,a,flashlight
The colorful blooming part of a plant that bees visit for nectar is,a,flower
The long thin musical instrument you blow across to make melodic sounds is,a,flute
The green amphibian that hops and croaks and catches flies with its tongue is,a,frog
The horned farm animal that climbs mountains and gives milk for cheese is,a,goat
The small round purple or green fruit that grows in clusters on vines is,a,grape
The sandwich of ground beef in a bun often served with fries is,a,hamburger
The large four-legged animal that people ride and that neighs and gallops is,a,horse
The cylindrical sausage served in a split bun at baseball games is,a,hotdog
The building where people live with rooms kitchen and bedrooms is,a,house
The round metal cover that protects the center of a car wheel is,a,hubcap
The glass container with a wide mouth and tight lid used for preserving food is,a,jar
The colorful diamond-shaped toy that flies in the wind on a string is,a,kite
The device with rungs that you climb to reach high places is,a,ladder
The glass-enclosed light that can be carried by hand to illuminate dark areas is,a,lantern
The flat green part of a tree that falls in autumn and photosynthesizes sunlight is,a,leaf
The sour yellow citrus fruit often squeezed into water or used in cooking is,a,lemon
The large spotted wild cat with rosette markings that climbs trees is,a,leopard
The glass bulb that screws into a socket to provide electric light is,a,lightbulb
The glossy publication with pictures and articles that you read monthly is,a,magazine
The metal box on a post where the postal worker delivers your letters is,a,mailbox
The tropical orange fruit with sweet flesh that grows on trees is,a,mango
The thick rectangular pad that you sleep on placed on top of a bed frame is,a,mattress
The scientific instrument that magnifies tiny objects so you can see their details is,a,microscope
The spring-loaded device that snaps shut to catch rodents is,a,mousetrap
The smooth-skinned peach-like fruit with a large pit in the center is,a,nectarine
The eight-armed sea creature that changes color and squirts ink is,an,octopus
The colorful tropical bird that can mimic human speech is,a,parrot
The small booklet with your photo that allows you to travel to other countries is,a,passport
The large colorful bird with an elaborate tail that fans out in display is,a,peacock
The black and white flightless bird that waddles and lives in cold climates is,a,penguin
The pink farm animal with a curly tail that rolls in mud and says oink is,a,pig
The soft rectangular cushion you rest your head on while sleeping is,a,pillow
The long-handled farming tool with sharp prongs used to pitch hay is,a,pitchfork
The round flatbread topped with cheese sauce and toppings baked in an oven is,a,pizza
The long flat piece of wood used in construction or as a walking surface is,a,plank
The spiny mammal covered in sharp quills that rolls into a ball when threatened is,a,porcupine
The feather from a bird's wing that was once used as a writing pen is,a,quill
The bed covering made of patches of fabric stitched together for warmth is,a,quilt
The flat floating platform made of logs or inflatable material for water travel is,a,raft
The waterproof coat worn to stay dry when it's raining outside is,a,raincoat
The venomous snake that shakes its tail to make a warning sound is,a,rattlesnake
The large kitchen appliance that keeps food cold and frozen is,a,refrigerator
The loose flowing garment worn over clothes like a bathrobe but more formal is,a,robe
The small oily fish often packed in cans and eaten on crackers is,a,sardine
The curved brass musical instrument played by blowing through a mouthpiece is,a,saxophone
The white and gray coastal bird that scavenges and makes harsh cries is,a,seagull
The rectangular piece of fabric worn around the shoulders or neck for warmth is,a,shawl
The thin cord that threads through holes in shoes to keep them tight is,a,shoelace
The flat vehicle for sliding down snowy hills that children ride on is,a,sled
The legless reptile that slithers on the ground and may be venomous is,a,snake
The long weapon with a sharp pointed tip thrown in ancient warfare is,a,spear
The soft absorbent material full of holes used for cleaning and washing is,a,sponge
The small red fruit with tiny seeds on the outside often eaten with cream is,a,strawberry
The large spoon used for serving food or measuring ingredients while cooking is,a,tablespoon
The optical instrument that makes distant objects appear closer and clearer is,a,telescope
The small metal cap worn on the finger tip while sewing to protect from needle pricks is,a,thimble
The sharp pointed projection on a rose stem or other plant that can prick you is,a,thorn
The large striped wild cat with orange and black markings that prowls the jungle is,a,tiger
The round rubber wheel that goes on a car and is inflated with air is,a,tire
The warty amphibian that hops like a frog but has rougher drier skin is,a,toad
The red round fruit used to make sauce and eaten in salads is,a,tomato
The handheld tool with bristles used to clean teeth twice daily is,a,toothbrush
The large farm vehicle that pulls plows and other equipment through fields is,a,tractor
The circular bouncing apparatus with springs that people jump on for exercise is,a,trampoline
The tall woody plant with branches and leaves that provides shade and oxygen is,a,tree
The cup-shaped flower that blooms in spring and is associated with the Netherlands,a,tulip
The reptile with a hard shell that moves slowly and can pull its head inside is,a,turtle
The milk-producing organ of a female cow or other mammal is,an,udder
The collapsible canopy on a stick that protects you from rain or sun is,an,umbrella
The sleeveless garment worn underneath a shirt next to the skin is,an,undershirt
The one-wheeled vehicle that requires balance to ride and is powered by pedaling is,a,unicycle
The decorative container used to hold cut flowers or as ornamental display is,a,vase
The large marine mammal with tusks that lives in Arctic waters and barks is,a,walrus
The wild pig with warty growths on its face found in Africa is,a,warthog
The stack of cut logs stored for burning in a fireplace is,a,woodpile
The small orange fruit with fuzzy skin and a large pit similar to a peach is,an,apricot
The pointed projectile shot from a bow toward a target is,an,arrow
The small dish where smokers tap their cigarette ashes is,an,ashtray
The Scottish musical instrument with pipes and a bag that plays haunting melodies is,a,bagpipe
The small dark purple berry that grows on thorny bushes is,a,blackberry
The structure that spans across water or valleys allowing passage from one side to another is,a,bridge
The small furry animal with long ears that hops and is often kept as a pet is,a,bunny
The dark surface where teachers write with chalk in classrooms is,a,chalkboard
The small booklet with blank checks used to pay bills from your bank account is,a,checkbook
The rich dessert made with cream cheese and often topped with berries is,a,cheesecake
The small striped rodent with pouches in its cheeks that stores nuts is,a,chipmunk
The outer garment with sleeves worn over other clothes for warmth is,a,coat
The round handle you turn to open or close a door is,a,doorknob
The three-legged stand that holds a canvas for an artist to paint on is,an,easel
The oval-shaped reproductive cell laid by birds that you crack open for breakfast is,an,egg
The large purple vegetable with glossy skin used in Mediterranean cooking is,an,eggplant
The small furry mammal with a long bushy tail kept as an exotic pet is,a,ferret
The sweet chewy fruit that grows on trees and is often dried is,a,fig
The red-orange wild animal with a bushy tail and pointed ears known for being clever is,a,fox
The hand covering with separate fingers that keeps your hands warm is,a,glove
The large powerful ape that beats its chest and lives in African forests is,a,gorilla
The electric appliance that blows hot air to dry wet hair quickly is,a,hairdryer
The impression left by pressing your palm and fingers onto an inked surface is,a,handprint
The bright beam at the front of a vehicle that illuminates the road at night is,a,headlight
The small flying insect that bothers horses and delivers painful bites is,a,horsefly
The room in a house where food is prepared and cooked is,a,kitchen
The young sheep with soft wool that follows its mother around the pasture is,a,lamb
The motorized machine with spinning blades used to cut grass is,a,lawnmower
The small white larva of a fly often found in rotting organic matter is,a,maggot
The thick creamy drink made by blending ice cream with milk and flavoring is,a,milkshake
The reflective glass surface that shows your image when you look into it is,a,mirror
The large antlered animal that lives in northern forests and is related to deer is,a,moose
The cleaning tool with absorbent strands attached to a handle for washing floors is,a,mop
The two-wheeled motorized vehicle that is faster than a bicycle is,a,motorcycle
The enclosed appliance that uses heat to bake roast or warm food is,an,oven
The sweet baked good like a croissant Danish or turnover is,a,pastry
The small wrinkled dried grape often added to cookies and cereals is,a,raisin
The healthy mixture of vegetables and greens often topped with dressing is,a,salad
The long piece of fabric wrapped around the neck for warmth or fashion is,a,scarf
The protective covering worn on the foot that has a sole and laces is,a,shoe
The long-handled tool with a wide blade used to dig holes in dirt is,a,shovel
The framework of bones that supports the human or animal body is,a,skeleton
The heavy machine with a curved blade that clears snow from roads and driveways is,a,snowplow
The eight-legged creature that spins webs to catch insects for food is,a,spider
The formal set of matching jacket and pants worn for business or special occasions is,a,suit
The rectangular case with a handle used for carrying clothes when traveling is,a,suitcase
The porcelain fixture in a bathroom used for bodily waste disposal is,a,toilet
The hard-shelled nut with wrinkled meat inside that falls from walnut trees is,a,walnut
The large boat with sails or a motor used for recreation on the water is,a,yacht
The brown nut from an oak tree that squirrels collect and bury for winter is,an,acorn
The large vehicle with wings that flies through the air carrying passengers is,an,airplane
The large reptile with powerful jaws that lives in swamps and rivers is,an,alligator
The small salty fish often used as a pizza topping or in Caesar salad is,an,anchovy
The heavy iron block with a flat surface used by blacksmiths for hammering metal is,an,anvil
The limb extending from your shoulder to your hand that you use to reach and lift is,an,arm
The bag worn on the back with straps over the shoulders for carrying books or supplies is,a,backpack
The hard pointed mouth part of a bird used for eating and building nests is,a,beak
The soft fabric chair filled with small pellets or beans that molds to your body is,a,beanbag
The hair that grows on a man's chin and cheeks is,a,beard
The metal device that makes a ringing sound when struck or when you push a button is,a,bell
The loose-fitting shirt typically worn by women with buttons or ties is,a,blouse
The small round blue fruit often baked in muffins or eaten fresh is,a,blueberry
The tall footwear that covers the ankle and sometimes goes up to the knee is,a,boot
The circular jewelry worn around the wrist often made of metal or beads is,a,bracelet
The container with a handle used to carry water or collect items is,a,bucket
The fuzzy yellow and black striped insect that makes honey and can sting is,a,bumblebee
The small round fastener sewn onto clothes that goes through a hole to close garments is,a,button
The small restaurant or coffee shop where you order drinks and light meals is,a,cafe
The knitted sweater that opens in front with buttons or a zipper is,a,cardigan
The thick fabric floor covering that lies wall-to-wall in rooms is,a,carpet
The large fortified building with towers where kings and queens once lived is,a,castle
The underground hollow space in rock or earth that explorers crawl through is,a,cave
The large stringed musical instrument played with a bow that sits between your knees is,a,cello
The board with alternating colored squares used to play checkers is,a,checkerboard
The short informal name for a chimpanzee is,a,chimp
The intelligent ape that swings from trees and shares DNA with humans is,a,chimpanzee
The dark brown insect that scurries when lights are turned on is,a,cockroach
The large black and white farm animal that gives milk and says moo is,a,cow
The wild dog that howls at the moon and roams the American Southwest is,a,coyote
The crispy flat biscuit that you eat with cheese or dip is,a,cracker
The tart red berry often made into sauce for Thanksgiving dinner is,a,cranberry
The flaky French pastry shaped like a crescent often eaten for breakfast is,a,croissant
The bright yellow flower with a dark center that turns to follow the sun is,a,daffodil
The short knife with a pointed blade once used as a weapon is,a,dagger
The intelligent marine mammal that jumps through hoops and makes clicking sounds is,a,dolphin
The sweet fried ring of dough often glazed or covered with sprinkles is,a,doughnut
The round percussion instrument that you beat with sticks to make rhythm is,a,drum
The decorative jewelry that hangs from the ear lobe is,an,earring
The wooden post that supports wire fencing around a property is,a,fencepost
The unique mark left by the tip of your finger that no one else has is,a,fingerprint
The covered space where cars are parked attached to or near a house is,a,garage
The hinged barrier that swings open to allow entry through a fence or wall is,a,gate
The large citrus fruit with pink or white flesh and a bitter skin is,a,grapefruit
The stinging insect similar to a wasp with yellow and black stripes is,a,hornet
The tiny colorful bird that hovers and feeds on flower nectar is,a,hummingbird
The massive floating chunk of ice that broke off from a glacier is,an,iceberg
The pointed hanging formation of ice that forms when water drips and freezes is,an,icicle
The land mass completely surrounded by water smaller than a continent is,an,island
The precious stone or gem that glitters and is used in jewelry is,a,jewel
The large container with a handle and spout used for pouring liquids is,a,jug
The organ that filters waste from blood and produces urine is,a,kidney
The portable computer that folds in half with a screen and keyboard is,a,laptop
The removable cover that goes on top of a jar pot or container is,a,lid
The tall tower with a bright light that guides ships safely to shore is,a,lighthouse
The small green citrus fruit that's more sour than a lemon is,a,lime
The large wild cat with a golden mane that roars and is called king of beasts is,a,lion
The piece of wood from a tree trunk often burned in a fireplace is,a,log
The round hard candy on a stick that children lick and suck on is,a,lollipop
The covering worn over the face for disguise protection or costume is,a,mask
The small wooden stick with a chemical tip that ignites when struck is,a,matchstick
The chunk of rock from space that burns up as it enters Earth's atmosphere is,a,meteor
The large landform that rises high above the surrounding area often with snow on top is,a,mountain
The hair that grows on a man's upper lip is,a,moustache
The chain or string of beads worn around the neck as jewelry is,a,necklace
The small metal wire bent into loops to hold papers together is,a,paperclip
The large water bird with a huge pouch under its beak for catching fish is,a,pelican
The directory that lists names and telephone numbers in alphabetical order is,a,phonebook
The small container for holding pills or medication is,a,pillbox
The rubber suction tool used to unclog toilets and drains is,a,plunger
The ancient Egyptian monument with triangular sides and a square base is,a,pyramid
The large nonvenomous snake that coils around its prey and squeezes is,a,python
The fast vehicle built specifically for speed competitions on a track is,a,racecar
The enormous evergreen tree that can live thousands of years and grow extremely tall is,a,redwood
The miniature castle made of sand at the beach that waves wash away is,a,sandcastle
The small two-wheeled vehicle propelled by pushing one foot on the ground is,a,scooter
The hard protective home of a mollusk found washed up on beaches is,a,seashell
The flat horizontal surface attached to a wall for storing books or objects is,a,shelf
The firearm with a wide barrel that fires multiple pellets at once is,a,shotgun
The paved walkway beside a street where people walk is,a,sidewalk
The flat kitchen tool used to flip pancakes eggs and other foods is,a,spatula
The rounded eating utensil used to scoop up soup cereal and other liquids is,a,spoon
The thick slice of beef grilled or cooked and served as a main course is,a,steak
The kitchen appliance with burners on top used for cooking food in pots and pans is,a,stove
The wheeled frame that parents push to transport babies and toddlers is,a,stroller
The wetland area with standing water where alligators and unusual plants live is,a,swamp
The elegant white water bird with a long curved neck is,a,swan
The appendage that animals wag move or use for balance at their rear end is,a,tail
The container with a lid handle and spout used for brewing and serving tea is,a,teapot
The portable shelter made of fabric supported by poles for camping outdoors is,a,tent
The instrument that measures temperature with mercury or digital display is,a,thermometer
The thick short digit on your hand that opposes the other four fingers is,a,thumb
The underwater weapon that explodes when it hits a target ship is,a,torpedo
The stringed musical instrument played with a bow held under the chin is,a,violin
The stinging flying insect with a narrow waist that can be aggressive is,a,wasp
The enormous marine mammal that lives in the ocean and is the largest animal on Earth is,a,whale
The large tropical fruit with spiky skin and sweet yellow flesh inside is,a,pineapple
The garment with sleeves that covers the upper body and is worn with pants or skirts is,a,shirt
The massive South American snake that can grow over 20 feet long and crushes its prey is,an,anaconda
The rectangular board behind a basketball hoop that the ball bounces off is,a,backboard
The small metal or plastic pin worn on clothing to show membership or achievement is,a,badge
The thin sharp edge of a knife sword or razor that cuts things is,a,blade
The tool that produces an intense flame used for welding or cutting metal is,a,blowtorch
The watercraft that floats and carries people or cargo across lakes rivers and oceans is,a,boat
The wild cat with tufted ears and a short tail that hunts small prey is,a,bobcat
The tall furniture piece with horizontal shelves for storing books is,a,bookshelf
The colorful flying insect that starts as a caterpillar and has beautiful wings is,a,butterfly
The luxury car brand known for large American automobiles is,a,cadillac
The desert animal with humps on its back that can go long periods without water is,a,camel
The tall holder with a candle that provides light when the wick is lit is,a,candlestick
The circular amusement ride with painted horses that goes up and down as it spins is,a,carousel
The place where dead people are buried marked with headstones is,a,cemetery
The baby bird that has just hatched and is covered in yellow fluffy down is,a,chick
The rolled tobacco leaves that people smoke and are bad for health is,a,cigar
The flat board with a clip at the top for holding papers while writing is,a,clipboard
The colorful tropical fish with orange white and black stripes often kept in aquariums is,a,clownfish
The electronic device with a screen and keyboard used for work games and internet is,a,computer
The bed for a baby that rocks back and forth gently is,a,cradle
The wooden box used for shipping or storing items is,a,crate
The large black bird that makes a cawing sound and is considered very intelligent is,a,crow
The person who cleans and fixes teeth and tells you to floss daily is,a,dentist
The certificate that shows you graduated from school or completed a course of study is,a,diploma
The fabric used for washing dishes or cleaning the kitchen is,a,dishcloth
The paper money worth one unit of currency in the United States is,a,dollar
The bright green precious gemstone often found in jewelry and engagement rings is,an,emerald
"The workplace with desks, computers, and meeting rooms where people do business is",an,office
The paper container that holds a letter and has the address written on the front is,an,envelope
The round organ in your head that you see with is,an,eye
The armored mammal that rolls into a ball and has a hard shell covering is,an,armadillo
The set of rooms where someone lives that is rented in a larger building is,an,apartment
The small oval fruit that can be green or black and is used to make oil is,an,olive
The green pear-shaped fruit with a large pit that's popular in guacamole is,an,avocado
"The small six-legged creature like a beetle, fly, or ant is",an,insect
The large facility with runways where planes take off and land is,an,airport
The protective garment tied around the waist to keep clothes clean while cooking is,an,apron
The playful aquatic mammal with whiskers that floats on its back cracking shells is,an,otter
The mechanical device that burns fuel to power vehicles boats and machines is,an,engine
The long-nosed mammal that uses its tongue to eat ants and termites is,an,anteater
The vast body of salt water that covers most of Earth's surface is,an,ocean
The large strong farm animal used for pulling heavy loads and plowing fields is,an,ox
The bellows-operated musical instrument with keys that expands and contracts is,an,accordion
The white or yellow layered vegetable that makes you cry when you cut it is,an,onion
The raised platform in a church where religious ceremonies are performed is,an,altar
The shellfish with two hinged shells that produces pearls and is eaten raw is,an,oyster
The long flat paddle used to propel a rowboat through the water is,an,oar
The narrow passage between buildings or a bowling lane is,an,alley
The joint that connects your foot to your leg and allows it to bend is,an,ankle
The safety device that rapidly inflates during a car crash to protect passengers is,an,airbag
The emergency vehicle with flashing lights that rushes sick people to the hospital is,an,ambulance
The electronic device that increases the volume of sound from speakers is,an,amplifier
The moving platform that carries people up and down between floors in buildings is,an,elevator
The large group of musicians who play classical music with various instruments is,an,orchestra
The comprehensive reference book with articles on many subjects arranged alphabetically is,an,encyclopedia
The furnace that burns waste at extremely high temperatures to destroy it is,an,incinerator
The glass tank filled with water where fish and sea creatures are kept for display is,an,aquarium
The heavy metal device that keeps boats from drifting by hooking to the sea floor is,an,anchor
The musical instrument with pipes and keys played in churches for hymns is,an,organ
The tiny green insect that feeds on plant sap and damages crops is,an,aphid
The area of land with many fruit trees planted in rows for harvesting is,an,orchard
The metal rod or wire that receives radio television or cellular signals is,an,antenna
The person trained to travel in space and explore beyond Earth's atmosphere is,an,astronaut
The rubber tool that removes pencil marks from paper is,an,eraser
"The entertainment venue with video games, pinball machines, and prizes is",an,arcade
The dish of beaten eggs cooked in a pan often folded over fillings is,an,omelette
The dome-shaped house made of ice blocks used by people in the Arctic is,an,igloo
The central open area in a building with a skylight or glass roof overhead is,an,atrium
The large flightless bird with a long neck that buries its head in sand is,an,ostrich
The small portion of food served before the main course is,an,appetizer
The organized military force of a country that fights wars on land is,an,army
The large hall with tiered seating where performances and lectures are held is,an,auditorium
The pointed stone tip of an ancient weapon shot from a bow is,an,arrowhead
The painful open sore that develops in the stomach or intestine is,an,ulcer
The long snake-like fish that lives in water and has smooth slimy skin is,an,eel
The electronic message sent over the internet from one computer to another is,an,email
The book or collection that holds photographs stamps or music recordings is,an,album
Someone who heals sick pets is,a,veterinarian
Someone who educates children in schools is,a,teacher
Someone who prepares meals in restaurants is,a,chef
Someone who extinguishes fires and rescues people is,a,firefighter
Someone who flies airplanes is,a,pilot
Someone who treats teeth and gums is,a,dentist
Someone who installs and repairs electrical systems is,an,electrician
Someone who manages books and helps people find information is,a,librarian
Someone who takes professional pictures is,a,photographer
Someone who designs buildings and structures is,an,architect
Someone who fixes cars and engines is,a,mechanic
Someone who performs operations on patients is,a,surgeon
Someone who dispenses medications is,a,pharmacist
Someone who writes news articles is,a,journalist
Someone who fixes pipes and water systems is,a,plumber
Someone who manages financial records is,an,accountant
Someone who represents clients in legal matters is,a,lawyer
Someone who designs and builds technical systems is,an,engineer
Someone who makes bread and pastries is,a,baker
Someone who builds things with wood is,a,carpenter
Someone who teaches and conducts research at universities is,a,professor
Someone who studies matter and energy is,a,physicist
Someone who studies living organisms is,a,biologist
Someone who studies chemical reactions and compounds is,a,chemist
Someone who studies and writes about past events is,a,historian
Someone who studies human behavior and mental processes is,a,psychologist
Someone who studies financial systems and markets is,an,economist
Someone who treats heart diseases is,a,cardiologist
Someone who treats disorders of the nervous system is,a,neurologist
Someone who provides medical care to children is,a,pediatrician
Someone who treats skin conditions is,a,dermatologist
Someone who treats mental health disorders is,a,psychiatrist
Someone who interprets medical images is,a,radiologist
Someone who administers anesthesia during surgery is,an,anesthesiologist
Someone who treats cancer patients is,an,oncologist
Someone who treats eye diseases is,an,ophthalmologist
Someone who treats bone and joint problems is,an,orthopedist
Someone who studies stars and planets is,an,astronomer
Someone who studies rocks and earth formations is,a,geologist
Someone who studies human cultures and societies is,an,anthropologist
Someone who studies social behavior and institutions is,a,sociologist
Someone who works with numbers and mathematical theories is,a,mathematician
Someone who analyzes data and calculates probabilities is,a,statistician
Someone who studies plants is,a,botanist
Someone who studies animals is,a,zoologist
Someone who studies weather patterns is,a,meteorologist
Someone who studies ancient civilizations through artifacts is,an,archaeologist
Someone who studies languages and their structure is,a,linguist
Someone who plays instruments or composes music is,a,musician
Someone who creates visual art is,an,artist
Someone who creates three-dimensional art is,a,sculptor
Someone who performs choreographed movements is,a,dancer
Someone who performs in plays or movies is,an,actor
Someone who creates written works is,a,writer
Someone who writes poetry is,a,poet
Someone who writes novels is,a,novelist
Someone who reviews and revises written content is,an,editor
Someone who converts text from one language to another is,a,translator
Someone who mixes and serves drinks is,a,bartender
Someone who serves food in restaurants is,a,waiter
Someone who cuts and styles hair is,a,barber
Someone who makes or alters clothing is,a,tailor
Someone who arranges and sells flowers is,a,florist
Someone who makes or repairs jewelry is,a,jeweler
Someone who repairs timepieces is,a,watchmaker
Someone who makes and repairs locks is,a,locksmith
Someone who joins metal pieces using heat is,a,welder
Someone who works with stone and brick is,a,mason
Someone who installs and repairs roofs is,a,roofer
Someone who applies paint to surfaces is,a,painter
Someone who tends to plants and landscapes is,a,gardener
Someone who grows crops and raises livestock is,a,farmer
Someone who catches fish for a living is,a,fisherman
Someone who works on ships is,a,sailor
Someone who drives large trucks for cargo transport is,a,trucker
Someone who leads orchestras or manages trains is,a,conductor
Someone who presides over legal proceedings is,a,judge
Someone who investigates crimes is,a,detective
Someone who provides emergency medical care is,a,paramedic
Someone who coordinates emergency services is,a,dispatcher
Someone who provides guidance and support is,a,counselor
Someone who provides treatment for physical or mental conditions is,a,therapist
Someone who advises on diet and nutrition is,a,nutritionist
Someone who helps others develop skills or fitness is,a,trainer
Someone who teaches and guides athletes is,a,coach
Someone who enforces rules in sports is,a,referee
Someone who handles payments in stores is,a,cashier
Someone who performs administrative tasks is,a,clerk
Someone who greets visitors and answers phones is,a,receptionist
Someone who provides administrative support is,a,secretary
Someone who oversees operations and staff is,a,manager
Someone who directs and monitors workers is,a,supervisor
Someone who provides expert advice is,a,consultant
Someone who examines data and information is,an,analyst
Someone who examines financial records is,an,auditor
Someone who works in financial institutions is,a,banker
Someone who facilitates financial transactions is,a,broker
Someone who helps buy and sell property is,a,realtor
Someone who conducts auctions is,an,auctioneer
Someone who sells products or services is,a,salesperson
Someone who sells goods directly to consumers is,a,retailer
Someone who sells goods in large quantities is,a,wholesaler
Someone who creates new devices or processes is,an,inventor
Someone who writes computer code is,a,programmer
Someone who maintains and repairs technical equipment is,a,technician
Someone who runs machinery or equipment is,an,operator
Someone who examines things for quality or compliance is,an,inspector
Someone who tests or evaluates people or things is,an,examiner
